Freq.	V(v_output)
1.00000000000000e+05	(-1.00891210471726e+02dB,1.77380821989707e+02°)
1.25892541179417e+05	(-1.04894384740644e+02dB,1.76589307557039e+02°)
1.58489319246112e+05	(-1.08899413100016e+02dB,1.75616688185275e+02°)
1.99526231496889e+05	(-1.12907376469301e+02dB,1.74411691300562e+02°)
2.51188643150959e+05	(-1.16919982581351e+02dB,1.72911187453645e+02°)
3.16227766016840e+05	(-1.20939924525642e+02dB,1.71037338578092e+02°)
3.98107170553499e+05	(-1.24971436969689e+02dB,1.68694459111211e+02°)
5.01187233627275e+05	(-1.29021148055522e+02dB,1.65765892080833e+02°)
6.30957344480197e+05	(-1.33099357257228e+02dB,1.62111619211865e+02°)
7.94328234724286e+05	(-1.37221887366055e+02dB,1.57568091657440e+02°)
1.00000000000001e+06	(-1.41412615652682e+02dB,1.51953047673815e+02°)
1.25892541179417e+06	(-1.45706583460667e+02dB,1.45079877669506e+02°)
1.58489319246112e+06	(-1.50153045212655e+02dB,1.36787723204764e+02°)
1.99526231496889e+06	(-1.54816798050330e+02dB,1.26992576053388e+02°)
2.51188643150959e+06	(-1.59774878793138e+02dB,1.15756440425380e+02°)
3.16227766016840e+06	(-1.65105541178540e+02dB,1.03352268245176e+02°)
3.98107170553500e+06	(-1.70869622243454e+02dB,9.02801422766259e+01°)
5.01187233627275e+06	(-1.77091207990126e+02dB,7.71941317750629e+01°)
6.30957344480197e+06	(-1.83749008772490e+02dB,6.47517935687825e+01°)
7.94328234724286e+06	(-1.90784543866174e+02dB,5.34617928222836e+01°)
1.00000000000001e+07	(-1.98121518540851e+02dB,4.36068031178178e+01°)
1.25892541179418e+07	(-2.05685038931879e+02dB,3.52565945681781e+01°)
1.58489319246112e+07	(-2.13413544541811e+02dB,2.83319507594842e+01°)
1.99526231496889e+07	(-2.21263259515109e+02dB,2.26742790898401e+01°)
2.51188643150960e+07	(-2.29208436860853e+02dB,1.80976261718113e+01°)
3.16227766016840e+07	(-2.37240787928121e+02dB,1.44195853060386e+01°)
3.98107170553500e+07	(-2.45370670709784e+02dB,1.14762064463502e+01°)
5.01187233627276e+07	(-2.53632580974497e+02dB,9.12713386195479e+00°)
6.30957344480197e+07	(-2.62099636598898e+02dB,7.25561340331531e+00°)
7.94328234724287e+07	(-2.70920022795499e+02dB,5.76620350893079e+00°)
1.00000000000001e+08	(-2.80421862304292e+02dB,4.58172241937660e+00°)
1.25892541179418e+08	(-2.91526144242809e+02dB,3.64018783962156e+00°)
1.58489319246112e+08	(-3.09479953600974e+02dB,2.89232056037129e+00°)
1.99526231496889e+08	(-3.09865535792842e+02dB,-1.77703123022840e+02°)
2.51188643150960e+08	(-3.07640901792700e+02dB,-1.78175313657941e+02°)
3.16227766016840e+08	(-3.09210485711501e+02dB,-1.78550532345634e+02°)
3.98107170553500e+08	(-3.11966189774288e+02dB,-1.78848616847570e+02°)
5.01187233627276e+08	(-3.15263841712845e+02dB,-1.79085409527289e+02°)
6.30957344480198e+08	(-3.18848212351748e+02dB,-1.79273507963794e+02°)
7.94328234724287e+08	(-3.22595835870663e+02dB,-1.79422923403201e+02°)
1.00000000000000e+09	(-3.26440285628221e+02dB,-1.79541610045317e+02°)
