Freq.	V(v_output)
1.00000000000000e-03	(-1.35840385778373e+01dB,8.98810810647231e+01°)
1.25892541179417e-03	(-1.15840494984526e+01dB,8.98502900557959e+01°)
1.58489319246111e-03	(-9.58406680640515e+00dB,8.98115265969673e+01°)
1.99526231496888e-03	(-7.58409423752010e+00dB,8.97627265425351e+01°)
2.51188643150958e-03	(-5.58413771255254e+00dB,8.97012914105995e+01°)
3.16227766016838e-03	(-3.58420661494405e+00dB,8.96239501528268e+01°)
3.98107170553497e-03	(-1.58431581563611e+00dB,8.95265852552708e+01°)
5.01187233627272e-03	(4.15511118554643e-01dB,8.94040140564108e+01°)
6.30957344480194e-03	(2.41523684185794e+00dB,8.92497139298353e+01°)
7.94328234724282e-03	(4.41480217806714e+00dB,8.90554772808974e+01°)
1.00000000000000e-02	(6.41411337148331e+00dB,8.88109791494961e+01°)
1.25892541179417e-02	(8.41302191034874e+00dB,8.85032367129742e+01°)
1.58489319246111e-02	(1.04112926227110e+01dB,8.81159365252582e+01°)
1.99526231496888e-02	(1.24085532961896e+01dB,8.76286028482042e+01°)
2.51188643150958e-02	(1.44042152924148e+01dB,8.70155809999945e+01°)
3.16227766016838e-02	(1.63973488832541e+01dB,8.62448175823693e+01°)
3.98107170553498e-02	(1.83864885469101e+01dB,8.52764433976561e+01°)
5.01187233627273e-02	(2.03693315117766e+01dB,8.40612214704489e+01°)
6.30957344480194e-02	(2.23422775249461e+01dB,8.25390423624399e+01°)
7.94328234724282e-02	(2.42997420998640e+01dB,8.06378837390338e+01°)
1.00000000000000e-01	(2.62331699025733e+01dB,7.82740769976485e+01°)
1.25892541179417e-01	(2.81297068873092e+01dB,7.53554168260004e+01°)
1.58489319246112e-01	(2.99706166659709e+01dB,7.17895740092074e+01°)
1.99526231496888e-01	(3.17298375977295e+01dB,6.75009717640169e+01°)
2.51188643150958e-01	(3.33736298556208e+01dB,6.24583519514171e+01°)
3.16227766016838e-01	(3.48628591229038e+01dB,5.67101754539497e+01°)
3.98107170553498e-01	(3.61593230864931e+01dB,5.04144301861101e+01°)
5.01187233627273e-01	(3.72355265602847e+01dB,4.38394039038334e+01°)
6.30957344480194e-01	(3.80838051008728e+01dB,3.73182553334048e+01°)
7.94328234724283e-01	(3.87191685950683e+01dB,3.11700647129930e+01°)
1.00000000000000e+00	(3.91738534184397e+01dB,2.56284011734425e+01°)
1.25892541179417e+00	(3.94873372196985e+01dB,2.08117165130232e+01°)
1.58489319246112e+00	(3.96974374629004e+01dB,1.67365076646606e+01°)
1.99526231496888e+00	(3.98354139347015e+01dB,1.33511905891123e+01°)
2.51188643150959e+00	(3.99247562842549e+01dB,1.05696629341139e+01°)
3.16227766016839e+00	(3.99820466171197e+01dB,8.29512332226236e+00°)
3.98107170553498e+00	(4.00185208635168e+01dB,6.43360422710030e+00°)
5.01187233627273e+00	(4.00415875773249e+01dB,4.90007016858865e+00°)
6.30957344480195e+00	(4.00560370559156e+01dB,3.62008286933656e+00°)
7.94328234724283e+00	(4.00649121682697e+01dB,2.52915982020056e+00°)
1.00000000000000e+01	(4.00700981431369e+01dB,1.57108168663258e+00°)
1.25892541179417e+01	(4.00727023306476e+01dB,6.95802119586870e-01°)
1.58489319246112e+01	(4.00732824052933e+01dB,-1.42742378487207e-01°)
1.99526231496888e+01	(4.00719627341756e+01dB,-9.88816252247131e-01°)
2.51188643150959e+01	(4.00684604603980e+01dB,-1.88704931217413e+00°)
3.16227766016839e+01	(4.00620262504167e+01dB,-2.88460327549120e+00°)
3.98107170553498e+01	(4.00512885265885e+01dB,-4.03335393206353e+00°)
5.01187233627274e+01	(4.00339728680032e+01dB,-5.39204814427600e+00°)
6.30957344480195e+01	(4.00064495511136e+01dB,-7.02826977623750e+00°)
7.94328234724284e+01	(3.99630445326671e+01dB,-9.01980303764157e+00°)
1.00000000000000e+02	(3.98950432679423e+01dB,-1.14545401472081e+01°)
1.25892541179417e+02	(3.97893509358256e+01dB,-1.44273690334965e+01°)
1.58489319246112e+02	(3.96269058878439e+01dB,-1.80315435855885e+01°)
1.99526231496889e+02	(3.93812653936631e+01dB,-2.23413734968679e+01°)
2.51188643150959e+02	(3.90183458482483e+01dB,-2.73841430749859e+01°)
3.16227766016839e+02	(3.84988844399939e+01dB,-3.31045205222641e+01°)
3.98107170553499e+02	(3.77849805700860e+01dB,-3.93354948469578e+01°)
5.01187233627274e+02	(3.68499678728302e+01dB,-4.57994973311364e+01°)
6.30957344480195e+02	(3.56873550740998e+01dB,-5.21558737897048e+01°)
7.94328234724284e+02	(3.43132612277662e+01dB,-5.80802225496676e+01°)
1.00000000000000e+03	(3.27606261466776e+01dB,-6.33338947456050e+01°)
1.25892541179417e+03	(3.10691752258245e+01dB,-6.77906475171646e+01°)
1.58489319246112e+03	(2.92767121226447e+01dB,-7.14211462529992e+01°)
1.99526231496889e+03	(2.74144824280757e+01dB,-7.42578167340484e+01°)
2.51188643150959e+03	(2.55061839161098e+01dB,-7.63605629312827e+01°)
3.16227766016839e+03	(2.35690152418869e+01dB,-7.77921903352979e+01°)
3.98107170553499e+03	(2.16154410954808e+01dB,-7.86037877691757e+01°)
5.01187233627274e+03	(1.96549985280316e+01dB,-7.88272070759841e+01°)
6.30957344480196e+03	(1.76959464436309e+01dB,-7.84718386243325e+01°)
7.94328234724285e+03	(1.57468050993128e+01dB,-7.75239977421953e+01°)
1.00000000000000e+04	(1.38179201768873e+01dB,-7.59485110315684e+01°)
1.25892541179417e+04	(1.19231692111805e+01dB,-7.36933583261214e+01°)
1.58489319246112e+04	(1.00817953912610e+01dB,-7.06994893530551e+01°)
1.99526231496889e+04	(8.32003611614490e+00dB,-6.69188480544692e+01°)
2.51188643150959e+04	(6.67165597485815e+00dB,-6.23429103896955e+01°)
3.16227766016839e+04	(5.17587704085939e+00dB,-5.70392293303455e+01°)
3.98107170553499e+04	(3.87127798219894e+00dB,-5.11831157406076e+01°)
5.01187233627275e+04	(2.78613908048554e+00dB,-4.50612813076636e+01°)
6.30957344480196e+04	(1.92920050046941e+00dB,-3.90295574872853e+01°)
7.94328234724285e+04	(1.28650141959332e+00dB,-3.34359380938356e+01°)
1.00000000000000e+05	(8.26555952299919e-01dB,-2.85494472143375e+01°)
1.25892541179417e+05	(5.10313616754523e-01dB,-2.45303062501253e+01°)
1.58489319246112e+05	(3.00257718046092e-01dB,-2.14439272189704e+01°)
1.99526231496889e+05	(1.65578606535806e-01dB,-1.92973807547536e+01°)
2.51188643150959e+05	(8.36510689066711e-02dB,-1.80773701640054e+01°)
3.16227766016840e+05	(3.94175302509890e-02dB,-1.77805651326431e+01°)
3.98107170553499e+05	(2.40573758434785e-02dB,-1.84369107536658e+01°)
5.01187233627275e+05	(3.35952391708403e-02dB,-2.01313403155623e+01°)
6.30957344480197e+05	(6.73283171683274e-02dB,-2.30318022305871e+01°)
7.94328234724286e+05	(1.24855373874598e-01dB,-2.74343394998449e+01°)
1.00000000000001e+06	(1.97964835742912e-01dB,-3.38386405222492e+01°)
1.25892541179417e+06	(2.47178898944244e-01dB,-4.30557068022359e+01°)
1.58489319246112e+06	(1.40561542348385e-01dB,-5.62487107928116e+01°)
1.99526231496889e+06	(-4.56153592384839e-01dB,-7.44150116699550e+01°)
2.51188643150959e+06	(-2.06914585000723e+00dB,-9.65394450611959e+01°)
3.16227766016840e+06	(-4.94341228560107e+00dB,-1.18639880757272e+02°)
3.98107170553500e+06	(-8.71728721263400e+00dB,-1.37700872705973e+02°)
5.01187233627275e+06	(-1.28999863428451e+01dB,-1.54557878032276e+02°)
6.30957344480197e+06	(-1.71243486101562e+01dB,-1.72660643158236e+02°)
7.94328234724286e+06	(-2.07494001422390e+01dB,1.63478462246239e+02°)
1.00000000000001e+07	(-2.24284608536354e+01dB,1.34191727013065e+02°)
1.25892541179418e+07	(-2.17665661488289e+01dB,1.09849375430891e+02°)
1.58489319246112e+07	(-2.00641300120092e+01dB,9.49311662420569e+01°)
1.99526231496889e+07	(-1.81505604511529e+01dB,8.60526675070856e+01°)
2.51188643150960e+07	(-1.62405754273054e+01dB,8.00223086440597e+01°)
3.16227766016840e+07	(-1.43795329798003e+01dB,7.50667726676416e+01°)
3.98107170553500e+07	(-1.25896830940409e+01dB,7.02594532774318e+01°)
5.01187233627276e+07	(-1.08992181933622e+01dB,6.51263677267547e+01°)
6.30957344480197e+07	(-9.34459201323232e+00dB,5.94673436993371e+01°)
7.94328234724287e+07	(-7.96547405873912e+00dB,5.32859780846726e+01°)
1.00000000000001e+08	(-6.79555880024120e+00dB,4.67536787632967e+01°)
1.25892541179418e+08	(-5.85217510643517e+00dB,4.01584165870023e+01°)
1.58489319246112e+08	(-5.13008789811594e+00dB,3.38230578810007e+01°)
1.99526231496889e+08	(-4.60354369254304e+00dB,2.80185798074495e+01°)
2.51188643150960e+08	(-4.23504278015015e+00dB,2.29110885779010e+01°)
3.16227766016840e+08	(-3.98529862180983e+00dB,1.85570397156122e+01°)
3.98107170553500e+08	(-3.81997709973650e+00dB,1.49305842983045e+01°)
5.01187233627276e+08	(-3.71232485156386e+00dB,1.19588090494842e+01°)
6.30957344480198e+08	(-3.64299863863665e+00dB,9.55008646807513e+00°)
7.94328234724287e+08	(-3.59867917816198e+00dB,7.61180284382758e+00°)
1.00000000000000e+09	(-3.57048047977605e+00dB,6.05938176462357e+00°)
